bc/batch,bc/l2_norm,bc/l2_loss,bc/epoch,batch_size,bc/loss,bc/prob_true_act,bc/ent_loss,bc/entropy,bc/samples_so_far,bc/neglogp
0,64.50019836425781,0.0,0,32,4.2937164306640625,0.014683922752737999,-0.005675754509866238,5.675754070281982,32,4.299392223358154
500,70.35665893554688,0.0,0,32,2.897976875305176,0.07483528554439545,-0.003947156947106123,3.9471569061279297,16032,2.9019241333007812
1000,70.64812469482422,0.0,0,32,3.454319477081299,0.11898770928382874,-0.003002647077664733,3.0026469230651855,32032,3.457322120666504
1500,70.76597595214844,0.0,0,32,3.1087677478790283,0.1911841481924057,-0.0027392038609832525,2.739203691482544,48032,3.111506938934326
2000,70.74964141845703,0.0,0,32,2.3756680488586426,0.22519414126873016,-0.0026435772888362408,2.6435770988464355,64032,2.3783116340637207
2500,70.68521881103516,0.0,0,32,2.5579781532287598,0.2109447866678238,-0.0026742136105895042,2.674213409423828,80032,2.560652256011963
3000,70.66221618652344,0.0,0,32,3.102490186691284,0.17631417512893677,-0.002672454109415412,2.6724538803100586,96032,3.1051626205444336
3500,70.62840270996094,0.0,1,32,2.5637662410736084,0.2306571751832962,-0.0026986938901245594,2.6986937522888184,112032,2.566464900970459
4000,70.71678924560547,0.0,1,32,2.350431442260742,0.2564367949962616,-0.0026784578803926706,2.678457736968994,128032,2.353109836578369
4500,70.77310943603516,0.0,1,32,2.641934871673584,0.18381235003471375,-0.0026388673577457666,2.638867139816284,144032,2.64457368850708
5000,70.81907653808594,0.0,1,32,2.388266086578369,0.19924405217170715,-0.002677403623238206,2.677403450012207,160032,2.3909435272216797
5500,70.73407745361328,0.0,1,32,2.03668212890625,0.24241045117378235,-0.00267717894166708,2.6771788597106934,176032,2.0393593311309814
6000,70.8104248046875,0.0,1,32,2.58394718170166,0.1956324577331543,-0.002677206415683031,2.67720627784729,192032,2.5866243839263916
6500,70.77961730957031,0.0,2,32,4.361982345581055,0.13606876134872437,-0.00265124230645597,2.651242256164551,208032,4.364633560180664
7000,70.83068084716797,0.0,2,32,2.3147218227386475,0.23778460919857025,-0.0026667953934520483,2.666795253753662,224032,2.3173885345458984
7500,70.8571548461914,0.0,2,32,3.2361807823181152,0.1664648950099945,-0.002698057796806097,2.6980576515197754,240032,3.2388787269592285
8000,70.88042449951172,0.0,2,32,1.6745280027389526,0.2822849154472351,-0.00271789263933897,2.7178924083709717,256032,1.677245855331421
8500,70.81645965576172,0.0,2,32,3.058032751083374,0.1597963273525238,-0.00266432436183095,2.6643242835998535,272032,3.060697078704834
9000,70.82559204101562,0.0,2,32,3.233522415161133,0.19806139171123505,-0.0026913455221801996,2.691345453262329,288032,3.2362136840820312
9500,70.88272857666016,0.0,3,32,2.4194271564483643,0.22963449358940125,-0.002658531302586198,2.6585311889648438,304032,2.422085762023926
10000,70.81507873535156,0.0,3,32,3.2195849418640137,0.1396484225988388,-0.0026998231187462807,2.6998229026794434,320032,3.2222847938537598
10500,70.8615951538086,0.0,3,32,2.47239351272583,0.23309142887592316,-0.002660019788891077,2.660019636154175,336032,2.475053548812866
11000,70.84068298339844,0.0,3,32,2.34122633934021,0.2192210555076599,-0.0026847391854971647,2.684739112854004,352032,2.3439111709594727
11500,70.8476333618164,0.0,3,32,2.8420567512512207,0.16441664099693298,-0.0027189720422029495,2.7189719676971436,368032,2.844775676727295
12000,71.03292083740234,0.0,3,32,2.436983346939087,0.25158458948135376,-0.0026145391166210175,2.6145389080047607,384032,2.4395978450775146
12500,70.85888671875,0.0,4,32,3.320780038833618,0.16380885243415833,-0.002699167700484395,2.699167490005493,400032,3.323479175567627
13000,70.87918090820312,0.0,4,32,2.3399507999420166,0.22558017075061798,-0.002693847520276904,2.693847417831421,416032,2.342644691467285
13500,70.98777770996094,0.0,4,32,3.6105833053588867,0.16847777366638184,-0.0026975537184625864,2.6975536346435547,432032,3.613280773162842
14000,70.95389556884766,0.0,4,32,2.579606056213379,0.22655826807022095,-0.0026664079632610083,2.666407823562622,448032,2.582272529602051
14500,71.04129028320312,0.0,4,32,3.088423013687134,0.17664840817451477,-0.002641073428094387,2.641073226928711,464032,3.091063976287842
15000,70.98945617675781,0.0,4,32,2.3511998653411865,0.2651711106300354,-0.0026438042987138033,2.6438040733337402,480032,2.3538436889648438
15500,70.947021484375,0.0,5,32,2.878840684890747,0.21327048540115356,-0.0026837335899472237,2.6837334632873535,496032,2.8815243244171143
16000,71.02164459228516,0.0,5,32,2.6493773460388184,0.21351391077041626,-0.0026496797800064087,2.649679660797119,512032,2.652027130126953
16500,71.05636596679688,0.0,5,32,2.055546522140503,0.2646107077598572,-0.002647785237058997,2.647785186767578,528032,2.058194398880005
17000,71.02190399169922,0.0,5,32,1.9205286502838135,0.27435386180877686,-0.0026777239982038736,2.6777238845825195,544032,1.9232063293457031
17500,71.03878021240234,0.0,5,32,2.674325704574585,0.20503923296928406,-0.0026801086496561766,2.6801085472106934,560032,2.6770057678222656
18000,71.04443359375,0.0,5,32,2.078763246536255,0.23490655422210693,-0.002660913160070777,2.6609129905700684,576032,2.0814242362976074
18500,71.09827423095703,0.0,6,32,2.6805431842803955,0.19154620170593262,-0.0026559922844171524,2.655992269515991,592032,2.683199167251587
19000,71.05792236328125,0.0,6,32,3.000948429107666,0.20022881031036377,-0.0026573350187391043,2.657334804534912,608032,3.003605842590332
19500,71.0791244506836,0.0,6,32,2.151034355163574,0.2554013729095459,-0.0027001576963812113,2.700157642364502,624032,2.1537344455718994
20000,71.04033660888672,0.0,6,32,2.3292222023010254,0.22134938836097717,-0.0026621820870786905,2.662181854248047,640032,2.3318843841552734
20500,71.14905548095703,0.0,6,32,2.855334520339966,0.17070797085762024,-0.002682641614228487,2.6826415061950684,656032,2.8580172061920166
