bc/l2_norm,bc/l2_loss,bc/samples_so_far,bc/batch,bc/neglogp,bc/loss,bc/entropy,bc/epoch,bc/ent_loss,bc/prob_true_act,batch_size
64.50019836425781,0.0,32,0,4.367918968200684,4.362243175506592,5.675754070281982,0,-0.005675754509866238,0.013497484847903252,32
70.1955795288086,0.0,16032,500,2.936673641204834,2.9327356815338135,3.9379518032073975,0,-0.003937952220439911,0.07807125896215439,32
70.52708435058594,0.0,32032,1000,2.5270838737487793,2.5240933895111084,2.9904980659484863,0,-0.0029904982075095177,0.17204758524894714,32
70.60584259033203,0.0,48032,1500,2.3258283138275146,2.3231005668640137,2.7276597023010254,0,-0.00272765988484025,0.25223228335380554,32
70.68500518798828,0.0,64032,2000,2.3869736194610596,2.3842763900756836,2.6971311569213867,1,-0.0026971313636749983,0.2122785449028015,32
70.68102264404297,0.0,80032,2500,3.047640800476074,3.044973373413086,2.6674752235412598,1,-0.0026674752589315176,0.2094840258359909,32
70.64337158203125,0.0,96032,3000,2.534104347229004,2.53140926361084,2.6951420307159424,1,-0.0026951420586556196,0.18128561973571777,32
70.75138854980469,0.0,112032,3500,2.8457093238830566,2.843029737472534,2.679661989212036,2,-0.0026796620804816484,0.23414617776870728,32
70.66630554199219,0.0,128032,4000,2.452056884765625,2.4493885040283203,2.6683766841888428,2,-0.0026683767791837454,0.24937085807323456,32
70.73282623291016,0.0,144032,4500,2.730703353881836,2.728010892868042,2.6925697326660156,2,-0.0026925697457045317,0.24014624953269958,32
70.70218658447266,0.0,160032,5000,2.627986431121826,2.62528133392334,2.7050013542175293,3,-0.0027050015050917864,0.18077132105827332,32
70.69398498535156,0.0,176032,5500,2.6405794620513916,2.6379096508026123,2.6698198318481445,3,-0.002669819863513112,0.18906047940254211,32
70.8851089477539,0.0,192032,6000,2.6499671936035156,2.6473546028137207,2.6124916076660156,3,-0.002612491836771369,0.2275468111038208,32
70.78907012939453,0.0,208032,6500,2.4711997509002686,2.4685068130493164,2.692993402481079,4,-0.0026929934974759817,0.2480999231338501,32
70.78683471679688,0.0,224032,7000,3.1462738513946533,3.143643379211426,2.6304116249084473,4,-0.002630411647260189,0.18647149205207825,32
70.8284912109375,0.0,240032,7500,2.052824020385742,2.0501296520233154,2.6942687034606934,4,-0.0026942689437419176,0.23720113933086395,32
70.82295227050781,0.0,256032,8000,2.3469300270080566,2.3442814350128174,2.648642063140869,5,-0.002648642286658287,0.21705032885074615,32
70.8405532836914,0.0,272032,8500,3.2636256217956543,3.260948896408081,2.6767067909240723,5,-0.0026767069939523935,0.1845841109752655,32
70.83028411865234,0.0,288032,9000,2.208775520324707,2.206105947494507,2.669504404067993,5,-0.0026695046108216047,0.23476344347000122,32
70.87256622314453,0.0,304032,9500,2.624263286590576,2.6215875148773193,2.6758697032928467,6,-0.002675869734957814,0.19973322749137878,32
70.95829010009766,0.0,320032,10000,2.1626720428466797,2.1600286960601807,2.643249988555908,6,-0.002643250161781907,0.2698756158351898,32
70.89542388916016,0.0,336032,10500,3.4443440437316895,3.4416344165802,2.7096400260925293,6,-0.0027096401900053024,0.17312085628509521,32
70.96707153320312,0.0,352032,11000,2.960092544555664,2.9573824405670166,2.7101757526397705,7,-0.00271017593331635,0.19877725839614868,32
70.98308563232422,0.0,368032,11500,2.8146631717681885,2.8119688034057617,2.6944456100463867,7,-0.002694445662200451,0.2274111658334732,32
70.9646987915039,0.0,384032,12000,2.9830260276794434,2.9803645610809326,2.661487579345703,7,-0.0026614877860993147,0.19584736227989197,32
70.9693374633789,0.0,400032,12500,2.3698418140411377,2.367152452468872,2.689439058303833,8,-0.0026894391048699617,0.2435283362865448,32
71.02474212646484,0.0,416032,13000,2.657083034515381,2.654414176940918,2.6688923835754395,8,-0.0026688924990594387,0.22701743245124817,32
71.19419860839844,0.0,432032,13500,2.694742202758789,2.692075490951538,2.6666460037231445,8,-0.002666646149009466,0.21711605787277222,32
71.10054016113281,0.0,448032,14000,2.6183066368103027,2.6155879497528076,2.7186896800994873,9,-0.002718689851462841,0.20546022057533264,32
71.17215728759766,0.0,464032,14500,3.0964250564575195,3.09377121925354,2.6538078784942627,9,-0.0026538081001490355,0.2008868157863617,32
71.12220764160156,0.0,480032,15000,3.2963781356811523,3.2937004566192627,2.67758846282959,9,-0.002677588490769267,0.1759117990732193,32
71.08929443359375,0.0,496032,15500,2.8517611026763916,2.8490681648254395,2.693028450012207,10,-0.0026930286549031734,0.16023077070713043,32
71.1624984741211,0.0,512032,16000,2.079634428024292,2.076964855194092,2.6695199012756348,10,-0.002669519977644086,0.25627925992012024,32
71.20668029785156,0.0,528032,16500,2.7225232124328613,2.7198503017425537,2.672837734222412,10,-0.0026728378143161535,0.2751513719558716,32
71.21746063232422,0.0,544032,17000,3.6137099266052246,3.6110544204711914,2.65539288520813,11,-0.0026553929783403873,0.16586574912071228,32
71.25736999511719,0.0,560032,17500,2.824173927307129,2.821498394012451,2.675499677658081,11,-0.0026754997670650482,0.2023875117301941,32
71.17932891845703,0.0,576032,18000,2.5726318359375,2.5699667930603027,2.6651504039764404,11,-0.0026651504449546337,0.2114197015762329,32
71.26227569580078,0.0,592032,18500,3.024937152862549,3.0223045349121094,2.632507085800171,12,-0.002632507123053074,0.18441593647003174,32
71.32598114013672,0.0,608032,19000,2.3715567588806152,2.3688900470733643,2.666619300842285,12,-0.002666619373485446,0.2592273950576782,32
71.28903198242188,0.0,624032,19500,2.289731740951538,2.2870612144470215,2.670560836791992,12,-0.0026705609634518623,0.2505806088447571,32
